player_id,short_name,nationality_name,poste,club_name,league_name,is_moroccan,overall_raw,pace,shooting,passing,dribbling,defending,physic,power_stamina,mentality_interceptions,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,overall,age,international_reputation,name_norm,pass_accuracy,duel_win_rate,pressings,carries,goal_ratio
17295,O. Hammond,England,MIL,Nottingham Forest,Premier League,0,54,0.6804123711340206,0.4725274725274725,0.5376344086021506,0.6276595744680851,0.5333333333333333,0.6666666666666667,0.6842105263157895,0.4831460674157303,0.0,0.0,0.0,0.0,0.0,0.1777777777777776,0.1071428571428571,0.0,o. hammond,0.7724,0.4216,0.0304,0.0092,0.052
17296,Y. Al Hassan,Mali,MIL,Al Taawon,Pro League,0,54,0.8556701030927835,0.5274725274725275,0.4731182795698925,0.5851063829787234,0.2666666666666666,0.7111111111111111,0.6105263157894737,0.2359550561797752,0.0,0.0,0.0,0.0,0.0,0.1777777777777776,0.1785714285714286,0.0,y. al hassan,0.7724,0.4216,0.0304,0.0092,0.052
17297,B. Akehurst,England,DEF,Gillingham,League Two,0,54,0.7525773195876289,0.3626373626373627,0.5161290322580645,0.5106382978723404,0.5333333333333333,0.6444444444444445,0.6526315789473685,0.5617977528089888,0.0,0.0,0.0,0.0,0.0,0.1777777777777776,0.0714285714285714,0.0,b. akehurst,0.7788,0.3954,0.0231,0.009,0.0596
17298,A. Bahusayn,Saudi Arabia,MIL,Al Ittihad,Pro League,0,54,0.6597938144329897,0.5274725274725275,0.5913978494623656,0.6063829787234042,0.5444444444444445,0.6333333333333333,0.6,0.4719101123595505,0.0,0.0,0.0,0.0,0.0,0.1777777777777776,0.1785714285714286,0.0,a. bahusayn,0.7724,0.4216,0.0304,0.0092,0.052
17299,H. Skogvold,Norway,MIL,Lillestrøm,Eliteserien,0,54,0.7835051546391752,0.5604395604395604,0.5268817204301076,0.5957446808510638,0.3777777777777777,0.5111111111111112,0.431578947368421,0.3595505617977528,0.0,0.0,0.0,0.0,0.0,0.1777777777777776,0.0357142857142857,0.0,h. skogvold,0.7724,0.4216,0.0304,0.0092,0.052
17300,C. Pye,England,DEF,Sunderland,Championship,0,54,0.7010309278350515,0.4395604395604396,0.4731182795698925,0.5638297872340425,0.5444444444444445,0.5666666666666667,0.5789473684210527,0.5842696629213483,0.0,0.0,0.0,0.0,0.0,0.1777777777777776,0.0714285714285714,0.0,c. pye,0.7788,0.3954,0.0231,0.009,0.0596
17301,Dinpuia,India,DEF,Jamshedpur,Super League,0,54,0.5979381443298969,0.3956043956043956,0.3978494623655914,0.4468085106382978,0.5888888888888889,0.7111111111111111,0.6736842105263158,0.5842696629213483,0.0,0.0,0.0,0.0,0.0,0.1777777777777776,0.3214285714285714,0.0,dinpuia,0.7788,0.3954,0.0231,0.009,0.0596
17302,J. Tanga,England,MIL,Leyton Orient,League Two,0,54,0.845360824742268,0.5054945054945056,0.4516129032258065,0.6170212765957447,0.3555555555555555,0.6111111111111112,0.7473684210526316,0.3370786516853932,0.0,0.0,0.0,0.0,0.0,0.1777777777777776,0.0714285714285714,0.0,j. tanga,0.7724,0.4216,0.0304,0.0092,0.052
17303,V. Dryselius,Sweden,GKP,Varberg BoIS,Allsvenskan,0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6333333333333333,0.5777777777777778,0.6021505376344086,0.6,0.6444444444444445,0.1777777777777776,0.0714285714285714,0.0,v. dryselius,0.6869,0.459,0.0115,0.0057,0.0828
17304,S. Narayanan,India,ATT,Bengaluru,Super League,0,54,0.7938144329896907,0.5824175824175825,0.4516129032258065,0.5744680851063829,0.2111111111111111,0.4888888888888889,0.6631578947368421,0.2134831460674157,0.0,0.0,0.0,0.0,0.0,0.1777777777777776,0.1428571428571428,0.0,s. narayanan,0.7222,0.3333,0.0065653723504033,0.0005189980605861,0.0449
